Date ,Time, MagX , MagY , MagZ , AccX , AccY , AccZ , GyroX , GyroY , GyroZ , Temp , Roll , Pitch , Yaw
2021/10/13,16:27.5,40.25,35.125,127.5,-0.003,-0.027,1.034,-0.03,-0.03,0.061,28,-6.84,11.5,-107.32
2021/10/13,16:28.5,43.125,35.375,130.75,-0.003,-0.028,1.035,0,-0.03,0.03,28.04,-6.94,11.73,-107.83
2021/10/13,16:29.5,40.125,27.75,132.875,-0.003,-0.027,1.034,0.03,0,0.03,28.04,-6.86,10.82,-108.05
2021/10/13,16:30.5,40.5,31.5,131.25,-0.003,-0.027,1.034,0.03,0,0.03,28.04,-6.79,10.77,-108.43
2021/10/13,16:31.4,43.25,35,132.125,-0.003,-0.028,1.034,0,0.03,0.122,28.08,-6.83,11.25,-108.98
2021/10/13,16:32.5,42.5,32.75,134.125,-0.004,-0.028,1.034,0.061,0.061,0,28.09,-6.8,11.12,-109.38
2021/10/13,16:33.4,40.875,32.875,133.5,-0.004,-0.028,1.032,0.091,-0.03,0.061,28.1,-6.68,10.98,-109.74
2021/10/13,16:34.4,39.875,26.625,130,-0.004,-0.026,1.033,0.03,0,0,28.09,-6.63,10.43,-110.05
2021/10/13,16:35.4,43.25,31.625,132.5,-0.004,-0.028,1.034,0.03,-0.03,0.03,28.12,-6.68,10.72,-110.56
2021/10/13,16:36.5,40.125,31.75,129,-0.003,-0.026,1.035,0,-0.03,0.091,28.14,-6.59,10.84,-110.99
2021/10/13,16:37.4,39.375,31.625,128.875,-0.004,-0.027,1.033,0.061,-0.03,0.061,28.12,-6.48,10.84,-111.39
2021/10/13,16:38.4,42.5,35.25,132.25,-0.004,-0.028,1.034,0,0,0.061,28.12,-6.45,11.27,-111.93
2021/10/13,16:39.4,44,34.5,131.125,-0.003,-0.026,1.033,0.061,0.03,0.061,28.12,-6.53,11.59,-112.5
2021/10/13,16:40.4,42.375,32.25,129,-0.004,-0.026,1.034,0.03,0,0.03,28.14,-6.55,11.51,-112.96
2021/10/13,16:41.5,41.875,31.125,130.375,-0.004,-0.027,1.034,0.061,0.03,0.061,28.18,-6.5,11.24,-113.37
2021/10/13,16:42.5,42.25,33.375,126.125,-0.004,-0.027,1.035,0.03,-0.03,0,28.17,-6.49,11.54,-113.94
2021/10/13,16:43.5,40.625,28.75,129.125,-0.003,-0.026,1.034,0.091,-0.03,0.061,28.18,-6.42,11.01,-114.28
2021/10/13,16:44.5,38.375,31.375,130.125,-0.004,-0.027,1.034,0.061,0,0.061,28.14,-6.19,10.76,-114.61
2021/10/13,16:45.5,40.875,29.625,131.625,-0.003,-0.028,1.035,0.091,0,0.03,28.2,-6.15,10.59,-115.01
2021/10/13,16:46.5,42.125,32.375,132.25,-0.003,-0.026,1.035,0,0,0.03,28.21,-6.12,10.84,-115.53
2021/10/13,16:47.5,41.5,34.375,133.125,-0.004,-0.026,1.034,0,0,0.03,28.26,-6.01,11.08,-116.02
2021/10/13,16:48.5,42.5,31.375,130.625,-0.004,-0.025,1.035,0.152,-0.03,0.061,28.37,-6.04,11.13,-116.53
2021/10/13,16:49.5,39.375,32.875,130.375,-0.006,-0.027,1.033,0.061,0.061,0.03,28.32,-5.86,11.06,-116.94
2021/10/13,16:50.5,48.5,34.75,130.375,0.043,-0.017,1.029,-4.177,-5.274,-0.976,28.24,-6.92,11.74,-117.89
2021/10/13,16:51.5,44.375,35.375,126.25,0.039,-0.003,1.022,-5.122,-5.549,2.043,28.27,-7.47,12.02,-118.48
